# seed=1337 config_hash=5fa4d5543ecd68be54445db2d80192b6b9de48a99484383e55fdfe1bbe91521a
episode,epsilon,alpha,mean_reward,winrate_vs_baseline,fallback_rate,role
999,0.9968396666666667,0.14956753333333334,-0.10450000000000004,0.0,0.5948,cop
1000,0.9968396666666667,0.14956753333333334,0.2825599999999988,0.506,0.7630634573304158,thief
1999,0.993673,0.1491342,-0.1381999999999999,0.0,0.398,cop
2000,0.993673,0.1491342,0.0693599999999999,0.206,0.509156452775775,thief
2999,0.9905063333333334,0.14870086666666665,-0.13190000000000002,0.0,0.3069142857142857,cop
3000,0.9905063333333334,0.14870086666666665,0.013780000000000008,0.13,0.4120149761742682,thief
3999,0.9873396666666666,0.14826753333333334,-0.10709999999999999,0.0,0.2709142857142857,cop
4000,0.9873396666666666,0.14826753333333334,-0.013720000000000003,0.088,0.38615984405458087,thief
4999,0.984173,0.1478342,-0.12130000000000014,0.0,0.23034285714285715,cop
5000,0.984173,0.1478342,-0.012939999999999986,0.086,0.3188376753507014,thief
5999,0.9810063333333333,0.14740086666666666,-0.10218000000000015,0.01,0.20967465263880153,cop
6000,0.9810063333333333,0.14740086666666666,-0.012559999999999958,0.09,0.3094915909530253,thief
6999,0.9778396666666667,0.14696753333333332,-0.10506000000000024,0.008,0.17857142857142858,cop
7000,0.9778396666666667,0.14696753333333332,-0.014699999999999989,0.084,0.297166968053044,thief
7999,0.974673,0.1465342,-0.10658000000000001,0.012,0.18808705612829324,cop
8000,0.974673,0.1465342,-0.021479999999999968,0.066,0.2498298162014976,thief
8999,0.9715063333333334,0.14610086666666666,-0.11560000000000008,0.008,0.15877021911207984,cop
9000,0.9715063333333334,0.14610086666666666,-0.026019999999999967,0.06,0.23920572616024013,thief
9999,0.9683396666666667,0.14566753333333332,-0.1086400000000001,0.004,0.16769617936398992,cop
10000,0.9683396666666667,0.14566753333333332,-0.032479999999999995,0.056,0.20575022461814915,thief
10999,0.965173,0.1452342,-0.055919999999999956,0.0,0.2413505130040563,cop
11000,0.965173,0.1452342,0.1477199999999994,0.04591836734693878,0.5559607932527924,thief
11999,0.9620063333333333,0.14480086666666667,-0.10836000000000016,0.005649717514124294,0.19626168224299065,cop
12000,0.9620063333333333,0.14480086666666667,0.04216000000000013,0.047619047619047616,0.4047013025902081,thief
12999,0.9588396666666666,0.14436753333333333,-0.08454000000000006,0.005235602094240838,0.17798444171492075,cop
13000,0.9588396666666666,0.14436753333333333,0.03295999999999996,0.07731958762886598,0.37869279044849224,thief
13999,0.955673,0.14393419999999998,-0.09474000000000014,0.010582010582010581,0.1712284797198716,cop
14000,0.955673,0.14393419999999998,0.020639999999999995,0.07537688442211055,0.3509779571561627,thief
14999,0.9525063333333333,0.14350086666666667,-0.08954000000000015,0.0,0.16556755179457253,cop
15000,0.9525063333333333,0.14350086666666667,0.0010799999999999833,0.046632124352331605,0.325008325008325,thief
15999,0.9493396666666667,0.14306753333333333,-0.08314000000000002,0.009950248756218905,0.14399391492598443,cop
